Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
Tajikistan,9573310,9789937,139960,-20000.0,,22.0,216627,2.2628223676032637,68.40032866533295
Kenya,53968739,55166062,569140,-10000.0,,20.0,1197323,2.218549149351072,94.82506764592192
Comoros,872695,891410,1861,-2000.0,,20.0,18715,2.1445063853923765,468.9387426114992
Sierra Leone,8004158,8167926,72180,-4200.0,,19.0,163768,2.0460365724914475,110.89163203103352
Pakistan,221612785,225939807,770880,-233379.0,,23.0,4327022,1.9525146078553184,287.48026281652136
Papua New Guinea,8975531,9146446,452860,-800.0,,22.0,170915,1.9042327412160907,19.81965949741642
Sao Tome & Principe,219844,223947,960,-1680.0,,19.0,4103,1.8663233929513654,229.00416666666666
Belize,398845,406120,22810,1200.0,,25.0,7275,1.8240168486504782,17.485532661113545
Algeria,43984569,44782559,2381740,-10000.0,,29.0,797990,1.814249902050876,18.467409960784973
Maldives,542151,551742,300,11370.0,,30.0,9591,1.769064338164091,High
Wallis & Futuna,11203,11010,140,,,,193,1.7227528340623046,80.02142857142857
Qatar,2889284,2938270,11610,40000.0,,32.0,48986,1.6954373471074493,248.86167097329889
Luxembourg,627704,637953,2590,9741.0,,40.0,10249,1.6327759580948982,242.35675675675677
Honduras,9931333,10089823,111890,-6800.0,,24.0,158490,1.5958582800516306,88.75979086602914
Israel,8678517,8814675,21640,10000.0,,30.0,136158,1.5689086050070535,401.0405268022181
Kiribati,119760,121603,810,-800.0,,23.0,1843,1.5389111556446227,147.85185185185185
Kuwait,4281320,4344808,17820,39520.0,,37.0,63488,1.482907140788355,240.25364758698092
Zimbabwe,14899771,15117227,386850,-116858.0,,19.0,217456,1.459458672217177,38.515628796691225
Laos,7293542,7399647,230800,-14704.0,,24.0,106105,1.454780132890165,31.601135181975735
Peru,33050211,33511612,1280000,99069.0,,31.0,461401,1.3960606787048955,25.82047734375
Cambodia,16758448,16990871,176520,-30000.0,,26.0,232423,1.386900505345125,94.93795603897576
Bolivia,11700207,11860128,1083300,-9504.0,,26.0,159921,1.3668219716112715,10.800523400720023
Libya,6887247,6981087,1759540,-1999.0,,29.0,93840,1.3625182892380656,3.9142315605215
Philippines,109830324,111294787,298170,-67152.0,,26.0,1464463,1.3333867612008503,368.3480028171848
Iran,84176929,85255972,1628550,-55000.0,,32.0,1079043,1.2818749897611494,51.68826809124681
Tokelau,1360,1377,10,,,,17,1.25,136.0
Paraguay,7147553,7235455,397300,-16556.0,,26.0,87902,1.2298194920695238,17.990317140699723
United Arab Emirates,9910892,10030765,83600,40000.0,,33.0,119873,1.209507681044249,118.55133971291866
Nicaragua,6638075,6717127,120340,-21272.0,,26.0,79052,1.1908874184157303,55.161002160545124
Cayman Islands,65854,66628,240,,,,774,1.1753272390439458,274.39166666666665
Australia,25550683,25847369,7682300,158246.0,,38.0,296686,1.1611666114757089,3.32591580646421
